MODE 0
BALL 60
STARS 0/3000/4200
ADDLINE 0,0,0 0,0,0 0,0,0 1,72,1 0,0,0 12,0,2 1,72,1 5,72,1 2,72,1
ADDLINE 0,0,0 1,69,1 1,69,1 1,69,1 12,0,2 1,69,1 1,69,1 4,69,1 1,69,1
ADDLINE 0,0,0 0,0,0 1,74,1 1,74,1 1,74,1 0,0,0 12,0,2 0,0,0 5,74,1
ADDLINE 1,74,1 1,74,1 1,74,1 3,74,1 1,74,1 1,74,1 1,74,1 12,0,2 1,74,1
ADDLINE 2,83,1 12,0,2 0,0,0 0,0,0 0,0,0 1,83,1 1,83,1 0,0,0 1,83,1
ADDLINE 0,0,0 0,0,0 1,91,1 1,91,1 5,91,1 0,0,0 12,0,2 0,0,0 3,91,1
ADDLINE 0,0,0 0,0,0 1,99,1 1,99,1 12,0,2 1,99,1 1,99,1 2,99,1 1,99,1
ADDLINE 0,0,0 12,0,2 1,108,1 1,108,1 0,0,0 5,108,1 2,108,1 4,108,1 1,108,1
ADDLINE 0,0,0 0,0,0 0,0,0 12,0,2 0,0,0 0,0,0 0,0,0 1,87,1 1,87,1
ADDLINE 1,87,1 5,87,1 1,87,1 1,87,1 1,87,1 1,87,1 12,0,2 1,87,1 1,87,1
ADDLINE 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 1,105,1 12,0,2 1,105,1 1,105,1
ADDLINE 1,108,1 1,108,1 3,108,1 2,108,1 12,0,2 1,108,1 0,0,0 3,108,1 1,108,1
ADDLINE 0,0,0 1,91,1 3,91,1 1,91,1 0,0,0 0,0,0 0,0,0 12,0,2 0,0,0
ADDLINE 0,0,0 4,96,1 1,96,1 4,96,1 1,96,1 1,96,1 12,0,2 1,96,1 1,96,1
ADDLINE 0,0,0 1,110,1 2,110,1 1,110,1 0,0,0 1,110,1 0,0,0 1,110,1 12,0,2
ADDLINE 2,129,1 1,129,1 1,129,1 1,129,1 12,0,2 3,129,1 0,0,0 1,129,1 1,129,1
ADDLINE 0,0,0 0,0,0 0,0,0 0,0,0 12,0,2 1,137,1 0,0,0 0,0,0 0,0,0
ADDLINE 5,132,1 1,132,1 2,132,1 1,132,1 12,0,2 1,132,1 1,132,1 1,132,1 0,0,0
0,0,0 1,61,1 12,0,2 1,61,1 5,61,1 1,61,1 1,61,1 1,61,1 3,61,1
0,0,0 1,63,1 12,0,2 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
0,0,0 3,62,1 12,0,2 1,62,1 1,62,1 1,62,1 4,62,1 1,62,1 0,0,0
0,0,0 2,61,1 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 4,61,1 12,0,2
12,0,2 1,55,1 1,55,1 1,55,1 5,55,1 1,55,1 1,55,1 1,55,1 1,55,1
0,0,0 1,59,1 12,0,2 4,59,1 1,59,1 1,59,1 0,0,0 0,0,0 1,59,1
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
