MODE 0
BALL 90
STARS 0/6500/9400
ADDLINE 17,101,1 17,101,1 17,101,1 17,101,1 12,0,2 17,101,1 17,101,1 17,101,1 19,101,1
ADDLINE 4,102,1 1,102,1 1,102,1 3,102,1 12,0,2 1,102,1 1,102,1 1,102,1 1,102,1
ADDLINE 5,103,1 1,103,1 1,103,1 1,103,1 12,0,2 5,103,1 1,103,1 1,103,1 1,103,1
ADDLINE 1,113,1 1,113,1 1,113,1 1,113,1 12,0,2 3,113,1 1,113,1 1,113,1 4,113,1
ADDLINE 12,0,2 1,120,1 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
ADDLINE 1,125,1 1,125,1 1,125,1 2,125,1 1,125,1 4,125,1 12,0,2 1,125,1 1,125,1
ADDLINE 0,0,0 12,0,2 0,0,0 4,142,1 0,0,0 1,142,1 0,0,0 1,142,1 1,142,1
ADDLINE 3,154,1 1,154,1 3,154,1 2,154,1 0,0,0 1,154,1 12,0,2 1,154,1 1,154,1
ADDLINE 1,124,1 1,124,1 1,124,1 1,124,1 0,0,0 1,124,1 12,0,2 1,124,1 1,124,1
ADDLINE 1,136,1 0,0,0 12,0,2 0,0,0 1,136,1 1,136,1 1,136,1 1,136,1 5,136,1
ADDLINE 1,148,1 0,0,0 12,0,2 3,148,1 1,148,1 1,148,1 4,148,1 4,148,1 0,0,0
ADDLINE 1,160,1 1,160,1 0,0,0 0,0,0 0,0,0 12,0,2 0,0,0 0,0,0 0,0,0
ADDLINE 1,122,1 1,122,1 1,122,1 1,122,1 2,122,1 1,122,1 12,0,2 1,122,1 1,122,1
ADDLINE 1,141,1 2,141,1 3,141,1 0,0,0 0,0,0 12,0,2 0,0,0 1,141,1 1,141,1
ADDLINE 1,153,1 1,153,1 1,153,1 0,0,0 0,0,0 4,153,1 12,0,2 0,0,0 1,153,1
ADDLINE 1,165,1 1,165,1 1,165,1 1,165,1 12,0,2 0,0,0 1,165,1 0,0,0 0,0,0
ADDLINE 1,133,1 5,133,1 1,133,1 12,0,2 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
ADDLINE 1,145,1 1,145,1 1,145,1 0,0,0 0,0,0 2,145,1 12,0,2 2,145,1 3,145,1
ADDLINE 0,0,0 0,0,0 12,0,2 0,0,0 1,158,1 4,158,1 4,158,1 1,158,1 1,158,1
ADDLINE 0,0,0 0,0,0 12,0,2 0,0,0 0,0,0 1,171,1 1,171,1 3,171,1 1,171,1
ADDLINE 0,0,0 0,0,0 0,0,0 12,0,2 1,137,1 1,137,1 5,137,1 1,137,1 1,137,1
ADDLINE 0,0,0 1,150,1 4,150,1 0,0,0 12,0,2 1,150,1 1,150,1 5,150,1 1,150,1
ADDLINE 0,0,0 0,0,0 12,0,2 0,0,0 0,0,0 4,163,1 1,163,1 1,163,1 1,163,1
ADDLINE 0,0,0 12,0,2 0,0,0 0,0,0 0,0,0 1,177,1 1,177,1 1,177,1 3,177,1
1,95,1 1,95,1 0,0,0 1,95,1 0,0,0 3,95,1 12,0,2 1,95,1 20,50,1
1,94,1 2,94,1 0,0,0 1,94,1 8,0,2 1,94,1 12,0,2 4,94,1 21,47,1
1,93,1 1,93,1 12,0,2 1,93,1 0,0,0 0,0,0 0,0,0 0,0,0 3,93,1
1,92,1 19,92,1 5,92,1 2,92,1 0,0,0 0,0,0 12,0,2 3,92,1 0,0,0
0,0,0 0,0,0 0,0,0 0,0,0 12,0,2 0,0,0 3,91,1 1,91,1 0,0,0
1,86,1 1,86,1 1,86,1 4,86,1 12,0,2 3,86,1 1,86,1 1,86,1 1,86,1
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
