MODE 0
BALL 50
STARS 0/0/2555 35
ADDLINE 0,0,0 17,63,1 1,63,1 16,63,1 12,0,2 1,63,1 10,0,2 1,63,1 1,63,1
ADDLINE 0,0,0 1,64,1 1,64,1 1,64,1 0,0,0 1,64,1 1,64,1 1,64,1 12,0,2
ADDLINE 0,0,0 1,72,1 0,0,0 0,0,0 12,0,2 17,72,1 1,72,1 0,0,0 0,0,0
ADDLINE 1,69,1 1,69,1 0,0,0 1,69,1 1,69,1 1,69,1 12,0,2 1,69,1 1,69,1
ADDLINE 1,74,1 1,74,1 12,0,2 1,74,1 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
ADDLINE 1,78,1 1,78,1 1,78,1 1,78,1 1,78,1 12,0,2 1,78,1 1,78,1 0,0,0
ADDLINE 0,0,0 1,83,1 12,0,2 1,83,1 0,0,0 0,0,0 0,0,0 1,83,1 0,0,0
ADDLINE 0,0,0 20,84,1 10,0,2 1,84,1 1,84,1 1,84,1 12,0,2 1,84,1 1,84,1
ADDLINE 1,108,1 1,108,1 12,0,2 16,108,1 1,108,1 1,108,1 0,0,0 1,108,1 1,108,1
0,0,0 0,0,0 1,82,1 12,0,2 0,0,0 0,0,0 0,0,0 0,0,0 1,62,1
1,81,1 12,0,2 0,0,0 1,81,1 1,61,1 0,0,0 1,61,1 0,0,0 0,0,0
0,0,0 1,80,1 0,0,0 1,80,1 1,60,1 11,0,2 1,60,1 1,60,1 0,0,0
0,0,0 1,79,1 12,0,2 1,79,1 1,59,1 0,0,0 1,59,1 1,59,1 0,0,0
1,78,1 12,0,2 0,0,0 1,78,1 1,58,1 1,58,1 1,58,1 1,58,1 8,0,2
0,0,0 0,0,0 0,0,0 1,77,1 1,57,1 12,0,2 0,0,0 1,57,1 1,57,1
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0 0,0,0
