Key	Type	Desc	English	Korean	Japanese
AppName	Text		Bbosiraegi Bricks Breaker	뽀시래기 벽돌깨기	ポシレギ レンガ崩し
Cha_Lock_Des00	Text		1st Housing Completed	1번 하우징 완성 시 획득	最初のハウジング完成
Cha_Lock_Des01	Text		2nd Housing Completed	2번 하우징 완성 시 획득	二番目のハウジング完成
Cha_Lock_Des02	Text		3rd Housing Completed	3번 하우징 완성 시 획득	三番目のハウジング完成
Cha_Lock_Des03	Text		4th Housing Completed	4번 하우징 완성 시 획득	四番目のハウジング完成
Cha_Lock_Des04	Text		5th Housing Completed	5번 하우징 완성 시 획득	五番目のハウジング完成
Exit_Pup_Title	Text		Do you want to close the game?	종료하시겠습니까?	本当にやめるの（泣）？
GetCoinAds	Text		Would you like to see your ad and get a jewel?	"광고를 보고 보석을 
얻으시겠습니까?"	"広告を見て宝石を
もらいますか？"
GetDailyReward	Text		Get Daily Bonus.	출석 보상을 받았습니다.	目のログイン報酬が届いたよ！
GetGift	Text		got 30 jewels.	보석 30개를 얻었습니다.	宝石(x30)を獲得しました。
Housing_Collection	Text		Collection	컬렉션	コレクション
Housing_Lock_01	Text		Unlocked when 200 stage cleared	200 스테이지 클리어 시 잠금해제	200ステージクリア時ロック解除
Housing_Lock_02	Text		Unlocked when 400 stage cleared	400 스테이지 클리어 시 잠금해제	400ステージクリア時ロック解除
Housing_Lock_03	Text		Unlocked when 600 stage cleared	600 스테이지 클리어 시 잠금해제	600ステージクリア時ロック解除
Housing_Lock_04	Text		Unlocked when 800 stage cleared	800 스테이지 클리어 시 잠금해제	800ステージクリア時ロック解除
Housing_Noti	Text		"Acquire when
housing is completed"	하우징 완성시 획득 가능	"ハウジング完成時に
獲得可能"
Housing_Noti_00	Text		"From Stage 1 to 200,
You can get housing items!"	"1~200 스테이지에서
하우징 아이템을 얻을 수 있습니다!"	"1~200ステージで、
ハウジングアイテムをゲットできます！"
Housing_Noti_01	Text		"From Stage 201 to 400,
You can get housing items!"	"201~400 스테이지에서
하우징 아이템을 얻을 수 있습니다!"	"201~400ステージで、
ハウジングアイテムをゲットできます！"
Housing_Noti_02	Text		"From Stage 401 to 600,
You can get housing items!"	"401~600 스테이지에서
하우징 아이템을 얻을 수 있습니다!"	"401~600ステージで、
ハウジングアイテムをゲットできます！"
Housing_Noti_03	Text		"From Stage 601 to 800,
You can get housing items!"	"601~800 스테이지에서
하우징 아이템을 얻을 수 있습니다!"	"601~800ステージで、
ハウジングアイテムをゲットできます！"
Housing_Noti_04	Text		"From Stage 801 to 1000,
You can get housing items!"	"801~1000 스테이지에서
하우징 아이템을 얻을 수 있습니다!"	"801~1000ステージで、
ハウジングアイテムをゲットできます！"
Ingame_AddBallAD	Text		Watch ad and +20 balls	광고 시청하고 +20	広告視聴でボールx20
Ingame_AddBallADTxt	Text		"Watch the ad and
increases the ball quantity?"	광고를 보고 공을 늘리시겠습니까?	"広告視聴でボールを
増やしますか？"
Ingame_Continue_Ad_Txt	Text		"Watch ad and
get continue"	광고 보고 이어하기	"広告を見て
続きをプレイする"
Ingame_Continue_Txt	Text		Remove 3 lines	3줄 제거	3ライン破壊
Ingame_Pause_On	Text		On	켬	オン
Ingame_Restat	Text		RESTART	재시작	リスタート
Ingame_Result_Continue	Text		CONTINUE	계속하기	続ける
Ingame_Result_GetRewardAD	Text		Watch ad and get reward	광고 시청하고 보상 받기	広告視聴でリワードをもらう
Ingame_Retry	Text		RETRY	재도전	再挑戦
Ingame_Shooting_Tip_Des00	Text		"The ball fires automatically and
you can adjust the firing angle
with a drag."	"공은 자동으로 발사 및 회수되며
드래그로 발사 각도를 조절 할 수 있습니다."	ボールは自動的に発射され、ドラッグを使用して発射角度を調整することができます。
Ingame_Shooting_Tip_Des01	Text		"The blocks come down
in real time and the game ends
when the blocks touch the floor."	"블럭은 실시간으로 내려오며
바닥에 닿으면 게임이 종료 됩니다."	"ブロックはリアルタイムで下りてきて、
地面に触れたらゲームが終わる。"
Ingame_Shooting_Tip_Des02	Text		"Collecting coins allows you to
upgrade your cannon's abilities."	"코인을 모으면 대포의 능력을
업그레이드 할 수 있습니다."	コインを集めると大砲の能力をアップグレードすることができます。
Ingame_Shooting_Up_Des00	Text		Add Ball	공 추가	ボールを追加
Ingame_Shooting_Up_Des01	Text		Attack	공 데미지	攻撃
Ingame_Shooting_Up_Des02	Text		Fire Rate	발사 속도	発射速度
Ingame_Shooting_Up_Des03	Text		Ball Speed	공 속도	ボール速度
Ingame_Tip_Txt_1	Text		Drag to adjust the angle	드래그로 각도를 맞출 수 있습니다.	ドラッグで角度を合わせられます。
